node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,noCrashes,rtt,timestamp
34,4071.3333333333335,191.2979061278217,38.0,3881.0,4333.0,98.0,0,3881.0,1504871403556
26,4151.333333333333,193.14300976794945,39.0,4001.0,4424.0,77.0,0,4001.0,1504871403676
67,194.0,195.33816831331248,0.0,49.0,527.0,88.0,0,49.0,1504871403765
18,4427.5,206.5,41.0,4221.0,4634.0,99.0,0,4221.0,1504871403896
31,380.75,266.1553822487909,1.0,190.0,834.0,32.0,0,190.0,1504871403906
9,4437.0,197.0,40.0,4240.0,4634.0,95.0,0,4240.0,1504871403915
80,4652.0,242.0,43.0,4410.0,4894.0,74.0,0,4410.0,1504871404085
45,473.75,221.92383265435913,2.0,320.0,854.0,31.0,0,400.0,1504871404116
3,4767.0,247.0,44.0,4520.0,5014.0,97.0,0,4520.0,1504871404195
96,553.5,217.04204661770032,3.0,391.0,924.0,62.0,0,489.0,1504871404205
20,4847.5,236.5,45.0,4611.0,5084.0,81.0,0,4611.0,1504871404286
55,706.0,182.0384574753368,4.0,540.0,1014.0,12.0,0,630.0,1504871404346
19,4896.5,216.5,42.0,4680.0,5113.0,3.0,0,4680.0,1504871404355
77,928.0,229.34798887280436,5.0,769.0,1324.0,5.0,0,769.0,1504871404485
74,4972.5,141.5,46.0,4831.0,5114.0,69.0,0,4831.0,1504871404506
62,956.0,168.70240069424028,7.0,819.0,1245.0,72.0,0,819.0,1504871404535
23,5276.5,306.5,49.0,4970.0,5583.0,96.0,0,4970.0,1504871404645
86,1018.5,209.69561273426777,8.0,861.0,1374.0,89.0,0,970.0,1504871404686
29,5332.5,221.5,50.0,5111.0,5554.0,86.0,0,5111.0,1504871404786
40,5327.0,216.0,48.0,5111.0,5543.0,10.0,0,5111.0,1504871404786
4,1288.5,170.2549558750053,10.0,1130.0,1574.0,27.0,0,1130.0,1504871404846
93,1280.75,215.6587292460011,9.0,1149.0,1654.0,21.0,0,1149.0,1504871404865
42,5571.5,241.5,51.0,5330.0,5813.0,9.0,0,5330.0,1504871405005
54,5567.0,227.0,52.0,5340.0,5794.0,35.0,0,5340.0,1504871405015
47,1453.5,193.62915586243722,11.0,1291.0,1784.0,19.0,0,1359.0,1504871405075
17,1450.75,236.66894071677424,12.0,1269.0,1853.0,82.0,0,1390.0,1504871405106
10,1626.0,199.3527025149145,14.0,1450.0,1953.0,60.0,0,1450.0,1504871405166
99,1556.25,183.7122410183927,13.0,1381.0,1864.0,87.0,0,1470.0,1504871405186
27,5777.0,236.0,53.0,5541.0,6013.0,23.0,0,5541.0,1504871405216
81,5762.5,221.5,54.0,5541.0,5984.0,39.0,0,5541.0,1504871405216
91,5872.0,222.0,55.0,5650.0,6094.0,45.0,0,5650.0,1504871405325
83,1733.75,210.47609721771258,15.0,1570.0,2094.0,63.0,0,1610.0,1504871405326
11,1888.5,226.79340819344816,16.0,1690.0,2273.0,79.0,0,1690.0,1504871405406
90,1838.5,180.62876293658218,6.0,1680.0,2144.0,0.0,0,1740.0,1504871405456
