node,geoLocation,rtt,timestamp,mean
64,64,6549.0,1504424901140,6573.2
25,25,2570.0,1504424901180,2644.6
65,65,6589.0,1504424901180,6645.0
66,66,6649.0,1504424901240,6803.2
26,26,2760.0,1504424901370,2731.5
67,67,6809.0,1504424901400,6885.4
27,27,2820.0,1504424901430,2843.6
68,68,6880.0,1504424901471,6919.2
29,29,2940.0,1504424901550,3036.5
28,28,3000.0,1504424901610,2925.7
70,70,7089.0,1504424901680,7167.2
69,69,7109.0,1504424901700,7075.0
71,71,7130.0,1504424901721,7257.6
30,30,3111.0,1504424901721,3162.5
31,31,3190.0,1504424901800,3266.6
72,72,7380.0,1504424901971,7359.2
32,32,3380.0,1504424901990,3353.8
73,73,7419.0,1504424902010,7443.2
34,34,3450.0,1504424902060,3510.7
33,33,3520.0,1504424902130,3463.5
74,74,7589.0,1504424902180,7543.2
75,75,7629.0,1504424902220,7647.2
35,35,3721.0,1504424902331,3663.6
76,76,7769.0,1504424902360,7789.2
36,36,3770.0,1504424902380,3742.7
77,77,7799.0,1504424902390,7887.2
78,78,7889.0,1504424902480,7943.0
37,37,3890.0,1504424902500,3828.7
38,38,3920.0,1504424902530,3945.5
100,0,40.0,1504424902670,133.45454545454547
1,1,260.0,1504424902890,229.54545454545453
2,2,400.0,1504424903030,340.45454545454544
3,3,410.0,1504424903040,417.90909090909093
4,4,430.0,1504424903060,531.6363636363636
5,5,530.0,1504424903160,620.3636363636364
6,6,780.0,1504424903410,756.9090909090909
7,7,880.0,1504424903510,831.3636363636364
8,8,940.0,1504424903570,954.0909090909091
9,9,1080.0,1504424903710,1030.5454545454545
10,10,1170.0,1504424903800,1167.0
11,11,1300.0,1504424903930,1261.2727272727273
14,14,1490.0,1504424904120,1534.2727272727273
13,13,1510.0,1504424904140,1441.2727272727273
15,15,1630.0,1504424904260,1641.5454545454545
16,16,1800.0,1504424904430,1763.2727272727273
18,18,1840.0,1504424904470,1942.1818181818182
17,17,1900.0,1504424904530,1845.2727272727273
19,19,2000.0,1504424904630,2035.1818181818182
21,21,2121.0,1504424904751,2217.0
20,20,2210.0,1504424904840,2158.818181818182
